,Game,AppID,Review Score,Positive Reviews,Negative Reviews,Review Score Description,Total Review,Units Sold (Estimated),Engine,Is Free,Price,Initial Price,Discounted Percent,Currency,Windows,Mac,Linux,Publishers,Release Date,Required Age
333,super monkey ball banana mania,1316910,8,763,103,Very Positive,866,17320,Unity Engine,False,29.99,29.99,0.0,USD, True, False, False,sega,"Oct 4, 2021",0
334,enter the gungeon,311690,9,59286,2418,Overwhelmingly Positive,61704,1234080,Unity Engine,False,14.99,14.99,0.0,USD, True, True, True,devolver digital,"Apr 5, 2016",0
335,blitzkrieg 3,235380,5,2690,2031,Mixed,4721,94420,Unity Engine,False,9.99,9.99,0.0,USD, True, True, False,nival,"Jun 2, 2017",0
336,road 96,1466640,8,8385,748,Very Positive,9133,182660,Unity Engine,False,19.96,19.96,0.0,USD, True, False, False,"['digixart', ' ravenscourt']","Aug 16, 2021",0
337,volume,365770,6,279,71,Mostly Positive,350,7000,Unity Engine,False,19.99,19.99,0.0,USD, True, True, False,bithell games,"Aug 18, 2015",0
338,among us,945360,8,516793,44055,Very Positive,560848,11216960,Unity Engine,False,4.246268656716418,4.246268656716418,0.0,CAD, True, False, False,innersloth,"16 Nov, 2018",0
339,cognition: an erica reed thriller,242780,8,277,54,Very Positive,331,6620,Unity Engine,False,14.99,14.99,0.0,USD, True, True, False,phoenix online publishing,"Sep 19, 2013",0
340,bloons td 6,960090,9,182290,4646,Overwhelmingly Positive,186936,3738720,Unity Engine,False,13.99,13.99,0.0,USD, True, True, False,ninja kiwi,"Dec 17, 2018",0
341,araya,466740,6,487,144,Mostly Positive,631,12620,Unity Engine,False,14.99,14.99,0.0,USD, True, False, False,mad virtual reality studio,"Nov 23, 2016",0
342,the book of unwritten tales 2,279940,8,517,54,Very Positive,571,11420,Unity Engine,False,29.99,29.99,0.0,USD, True, True, True,thq nordic,"Feb 19, 2015",0
343,overcooked,448510,8,9367,923,Very Positive,10290,205800,Unity Engine,False,16.99,16.99,0.0,USD, True, False, False,team17 digital ltd,"Aug 3, 2016",0
344,cuphead,268910,9,103655,3548,Overwhelmingly Positive,107203,2144060,Unity Engine,False,19.99,19.99,0.0,USD, True, True, False,studio mdhr entertainment inc.,"Sep 29, 2017",0
345,baldo: the guardian owls,1614890,5,95,55,Mixed,150,3000,Unity Engine,False,24.99,24.99,0.0,USD, True, False, False,naps team,"Aug 26, 2021",0
346,9 monkeys of shaolin,739080,8,398,62,Very Positive,460,9200,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, True,esdigital games,"Oct 16, 2020",0
347,nemezis: mysterious journey iii,986350,5,52,32,Mixed,84,1680,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, False,"['playway s.a.', ' detalion games s.a.']","Jul 8, 2021",0
348,tropico 6,492720,8,12749,1839,Very Positive,14588,291760,Unreal Engine,False,39.99,39.99,0.0,USD, True, True, True,kalypso media,"Mar 29, 2019",13
349,warp,102850,5,211,94,Mixed,305,6100,Unreal Engine,False,9.99,9.99,0.0,USD, True, False, False,electronic arts,"Mar 21, 2012",18
350,chernobylite,1016800,8,6480,1282,Very Positive,7762,155240,Unreal Engine,False,29.99,29.99,0.0,USD, True, False, False,the farm 51,"Jul 28, 2021",17
351,tekken 7,389730,8,42153,9580,Very Positive,51733,1034660,Unreal Engine,False,39.99,39.99,0.0,USD, True, False, False,bandai namco entertainment,"Jun 1, 2017",0
352,hmmsim metro,1591420,8,783,68,Very Positive,851,17020,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, False,jeminie interactive,"Jun 25, 2021",0
353,moonbase alpha,39000,8,152,26,Very Positive,178,3560,Unreal Engine,True,,,,, True, False, False,nasa,"Jul 6, 2010",0
354,rise of the triad,217140,5,1178,566,Mixed,1744,34880,Unreal Engine,False,14.99,14.99,0.0,USD, True, False, False,apogee entertainment,"Jul 31, 2013",0
355,viscera cleanup detail,246900,8,11752,806,Very Positive,12558,251160,Unreal Engine,False,12.99,12.99,0.0,USD, True, True, False,runestorm,"Oct 23, 2015",0
356,ashen,649950,6,1650,701,Mostly Positive,2351,47020,Unreal Engine,False,39.99,39.99,0.0,USD, True, False, False,annapurna interactive,"Dec 9, 2019",0
357,battlefleet gothic: armada,363680,5,3114,1435,Mixed,4549,90980,Unreal Engine,False,2.99,14.99,80.0,USD, True, False, False,focus entertainment,"Apr 21, 2016",0
358,gears tactics,1184050,6,4293,1325,Mostly Positive,5618,112360,Unreal Engine,False,39.99,39.99,0.0,USD, True, False, False,xbox game studios,"Apr 28, 2020",17
359,rad,722560,6,437,127,Mostly Positive,564,11280,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, False,bandai namco entertainment america inc.,"Aug 19, 2019",0
360,desert thunder,283330,5,20,14,Mixed,34,680,Unreal Engine,False,2.99,2.99,0.0,USD, True, False, False,funbox media ltd,"Mar 19, 2014",0
361,life is strange: true colors,936790,8,7427,834,Very Positive,8261,165220,Unreal Engine,False,59.99,59.99,0.0,USD, True, False, False,square enix,"Sep 9, 2021",17
362,martha is dead,515960,6,1027,265,Mostly Positive,1292,25840,Unreal Engine,False,20.99,29.99,30.0,USD, True, False, False,wired productions,"Feb 24, 2022",17
363,destroy all humans!,803330,8,6499,427,Very Positive,6926,138520,Unreal Engine,False,29.99,29.99,0.0,USD, True, False, False,thq nordic,"Jul 28, 2020",0
364,fated: the silent oath,401820,6,70,28,Mostly Positive,98,1960,Unreal Engine,False,9.99,9.99,0.0,USD, True, False, False,frima originals,"Apr 28, 2016",0
365,gravel,558260,6,421,152,Mostly Positive,573,11460,Unreal Engine,False,29.99,29.99,0.0,USD, True, True, True,milestone s.r.l.,"Feb 27, 2018",0
366,close to the sun,968870,6,318,106,Mostly Positive,424,8480,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, False,wired productions,"May 5, 2020",18
367,sherlock holmes: the devil's daughter,350640,8,7983,1995,Very Positive,9978,199560,Unreal Engine,False,5.99,29.99,80.0,USD, True, False, False,frogwares,"Jun 10, 2016",0
368,poppy playtime,1721470,6,19505,6348,Mostly Positive,25853,517060,Unreal Engine,True,,,,, True, False, False,mob games,"Oct 12, 2021",0
369,lost planet 3,226720,5,1043,600,Mixed,1643,32860,Unreal Engine,False,4.99,24.99,80.0,USD, True, False, False,capcom,"Aug 26, 2013",0
370,styx: shards of darkness,355790,8,2437,476,Very Positive,2913,58260,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, False,nacon,"Mar 14, 2017",0
371,bioshock 2,8850,8,8616,1082,Very Positive,9698,193960,Unreal Engine,False,,,,, True, False, False,2k,"Feb 9, 2010",17
372,dungeons & dragons: dark alliance,623280,5,1845,1779,Mixed,3624,72480,Unreal Engine,False,29.99,29.99,0.0,USD, True, False, False,wizards of the coast,"Jun 21, 2021",17
373,deadfall adventures,231330,6,855,297,Mostly Positive,1152,23040,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, True,thq nordic,"Nov 15, 2013",0
374,nerf legends,1279910,4,7,18,Mostly Negative,25,500,Unreal Engine,False,49.99,49.99,0.0,USD, True, False, False,gamemill entertainment,"Nov 18, 2021",0
375,hello neighbor,521890,8,6268,1183,Very Positive,7451,149020,Unreal Engine,False,29.99,29.99,0.0,USD, True, False, False,tinybuild,"Dec 8, 2017",0
376,darksiders genesis,710920,8,6315,1216,Very Positive,7531,150620,Unreal Engine,False,25.365671641791046,25.365671641791046,0.0,CAD, True, False, False,thq nordic,"5 Dec, 2019",0
377,disintegration,536280,5,102,68,Mixed,170,3400,Unreal Engine,False,29.99,29.99,0.0,USD, True, False, False,private division,"Jun 15, 2020",0
378,soulcalibur vi,544750,8,5839,1258,Very Positive,7097,141940,Unreal Engine,False,13.49,89.99,85.0,USD, True, False, False,bandai namco entertainment,"18 Oct, 2018",0
379,the occupation,765880,6,98,40,Mostly Positive,138,2760,Unreal Engine,False,29.99,29.99,0.0,USD, True, False, False,humble games,"Mar 5, 2019",13
380,darwin project,544920,6,1052,388,Mostly Positive,1440,28800,Unreal Engine,True,,,,, True, False, False,scavengers studio,"Jan 13, 2020",0
381,kartkraft,406350,8,1544,349,Very Positive,1893,37860,Unreal Engine,False,39.99,39.99,0.0,USD, True, False, False,motorsport games,"Nov 1, 2018",0
382,what remains of edith finch,501300,9,24727,1196,Overwhelmingly Positive,25923,518460,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, False,annapurna interactive,"Apr 24, 2017",0
383,reaching for petals,636170,6,86,33,Mostly Positive,119,2380,Unreal Engine,False,4.99,4.99,0.0,USD, True, False, False,blue entropy studios,"Sep 4, 2017",0
384,let it die,794600,0,6,1,7 user reviews,7,140,Unreal Engine,True,,,,, True, False, False,"['gungho online entertainment america', ' inc.']","Sep 26, 2018",17
385,mortal shell,1110910,6,2574,908,Mostly Positive,3482,69640,Unreal Engine,False,29.99,29.99,0.0,USD, True, False, False,playstack,"Aug 18, 2021",0
386,shenmue iii,878670,6,482,124,Mostly Positive,606,12120,Unreal Engine,False,29.99,29.99,0.0,USD, True, False, False,prime matter,"Nov 19, 2020",0
387,tales of arise,740130,8,16881,1847,Very Positive,18728,374560,Unreal Engine,False,33.99,84.99,60.0,USD, True, False, False,bandai namco entertainment,"Sep 9, 2021",0
388,abzû,384190,8,16655,1228,Very Positive,17883,357660,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, False,505 games,"Aug 2, 2016",0
389,the walking dead: saints & sinners,916840,8,5210,656,Very Positive,5866,117320,Unreal Engine,False,39.99,39.99,0.0,USD, True, False, False,skydance interactive,"Jan 23, 2020",0
390,ride 3,759740,8,2869,549,Very Positive,3418,68360,Unreal Engine,False,39.99,39.99,0.0,USD, True, False, False,milestone s.r.l.,"Nov 30, 2018",0
391,fernbus simulator,427100,5,3626,1624,Mixed,5250,105000,Unreal Engine,False,29.99,29.99,0.0,USD, True, False, False,aerosoft gmbh,"Aug 25, 2016",0
392,squad,393380,8,77496,8556,Very Positive,86052,1721040,Unreal Engine,False,37.49,49.99,25.0,USD, True, False, False,offworld industries,"Sep 23, 2020",0
393,barrage,836080,7,36,6,Positive,42,840,Unreal Engine,False,4.99,4.99,0.0,USD, True, False, False, 原型工业 | archetype industry,"Apr 18, 2018",0
394,dishonored,205100,9,51211,1373,Overwhelmingly Positive,52584,1051680,Unreal Engine,False,9.99,9.99,0.0,USD, True, False, False,bethesda softworks,"Oct 8, 2012",17
395,scorn,698670,6,3343,1216,Mostly Positive,4559,91180,Unreal Engine,False,39.99,39.99,0.0,USD, True, False, False,kepler interactive,"Oct 14, 2022",0
396,advent rising,3800,8,274,65,Very Positive,339,6780,Unreal Engine,False,9.99,9.99,0.0,USD, True, False, False,ziggurat,"Sep 14, 2006",0
397,amid evil,673130,9,4412,204,Overwhelmingly Positive,4616,92320,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, False,new blood interactive,"Jun 20, 2019",0
398,obduction,306760,6,2041,573,Mostly Positive,2614,52280,Unreal Engine,False,29.99,29.99,0.0,USD, True, True, False,cyan inc.,"Aug 24, 2016",0
399,satisfactory,526870,9,92198,2574,Overwhelmingly Positive,94772,1895440,Unreal Engine,False,29.99,29.99,0.0,USD, True, False, False,coffee stain publishing,"Jun 8, 2020",0
400,twin mirror,1552810,6,141,44,Mostly Positive,185,3700,Unreal Engine,False,29.99,29.99,0.0,USD, True, False, False,dont nod,"Dec 1, 2021",0
401,descent,273570,8,361,11,Very Positive,372,7440,Unreal Engine,False,9.99,9.99,0.0,USD, True, True, True,interplay inc.,"Feb 11, 2014",0
402,bpm: bullets per minute,1286350,8,7161,538,Very Positive,7699,153980,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, False,awe interactive,"Sep 15, 2020",0
403,crash time iii,33620,8,377,69,Very Positive,446,8920,Unreal Engine,False,5.99,5.99,0.0,USD, True, False, False,kalypso media digital,"Nov 25, 2009",0
404,the vanishing of ethan carter,258520,8,5670,777,Very Positive,6447,128940,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, False,the astronauts,"Sep 25, 2014",0
405,into the stars,360510,4,146,233,Mostly Negative,379,7580,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, False,iceberg interactive,"Mar 4, 2016",0
406,psychonauts in the rhombus of ruin,788690,8,347,43,Very Positive,390,7800,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, False,double fine productions,"Apr 19, 2018",0
407,postal redux,401680,8,2596,202,Very Positive,2798,55960,Unreal Engine,False,8.99,8.99,0.0,USD, True, False, True,running with scissors,"May 20, 2016",17
408,maneater,629820,8,6796,722,Very Positive,7518,150360,Unreal Engine,False,39.99,39.99,0.0,USD, True, False, False,tripwire interactive,"May 25, 2021",16
409,back 4 blood,924970,5,20098,10658,Mixed,30756,615120,Unreal Engine,False,59.99,59.99,0.0,USD, True, False, False,warner bros. games,"Oct 12, 2021",17
410,rising storm 2: vietnam,418460,8,30890,4425,Very Positive,35315,706300,Unreal Engine,False,24.99,24.99,0.0,USD, True, False, False,tripwire interactive,"May 30, 2017",0
411,absolver,473690,6,7651,2865,Mostly Positive,10516,210320,Unreal Engine,False,29.99,29.99,0.0,USD, True, False, False,devolver digital,"Aug 29, 2017",0
412,fishing: barents sea,501080,6,1578,446,Mostly Positive,2024,40480,Unreal Engine,False,24.99,24.99,0.0,USD, True, False, False,misc games,"Feb 7, 2018",0
413,the medium,1293160,8,4465,567,Very Positive,5032,100640,Unreal Engine,False,49.99,49.99,0.0,USD, True, False, False,"['bloober team sa                      ', ' na publishing inc.']",Jan 2021,0
414,ghostrunner,1139900,8,30149,2598,Very Positive,32747,654940,Unreal Engine,False,29.99,29.99,0.0,USD, True, False, False,505 games,"Oct 27, 2020",17
415,terminator: resistance,954740,8,8277,691,Very Positive,8968,179360,Unreal Engine,False,39.99,39.99,0.0,USD, True, False, False,reef entertainment,"Nov 14, 2019",17
416,choplifter hd,202070,8,168,23,Very Positive,191,3820,Unreal Engine,False,,,,, True, False, False,inxile entertainment,"Jan 11, 2012",0
417,dirty bomb,333930,8,1087,240,Very Positive,1327,26540,Unreal Engine,True,,,,, True, False, False,warchest ltd.,Jun 2015,0
418,xenon racer,899390,5,333,182,Mixed,515,10300,Unreal Engine,False,14.99,14.99,0.0,USD, True, False, False,3dclouds,"Mar 26, 2019",0
419,tribes of midgard,858820,6,8421,2510,Mostly Positive,10931,218620,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, False,gearbox publishing,"Jul 27, 2021",0
420,rime,493200,8,2678,281,Very Positive,2959,59180,Unreal Engine,False,29.99,29.99,0.0,USD, True, False, False,"['grey box', ' six foot']","May 26, 2017",0
421,state of mind,437630,6,954,271,Mostly Positive,1225,24500,Unreal Engine,False,19.99,19.99,0.0,USD, True, True, True,daedalic entertainment,"Aug 15, 2018",0
422,grounded,962130,8,26136,3481,Very Positive,29617,592340,Unreal Engine,False,39.99,39.99,0.0,USD, True, False, False,xbox game studios,"Sep 27, 2022",0
423,the king of fighters xv,1498570,8,3230,745,Very Positive,3975,79500,Unreal Engine,False,59.99,59.99,0.0,USD, True, False, False,snk corporation,"Feb 16, 2022",0
424,crash force,535690,0,4,1,5 user reviews,5,100,Unreal Engine,True,,,,, True, False, False,ascanio entertainment,"Jul 14, 2017",0
425,ancestors legacy,620590,8,3509,822,Very Positive,4331,86620,Unreal Engine,False,34.99,34.99,0.0,USD, True, False, False,fulqrum publishing,"May 22, 2018",17
426,sword art online: fatal bullet,626690,8,11088,2747,Very Positive,13835,276700,Unreal Engine,False,39.99,39.99,0.0,USD, True, False, False,bandai namco entertainment,"Feb 23, 2018",0
427,necromunda: hired gun,1222370,6,2912,1175,Mostly Positive,4087,81740,Unreal Engine,False,39.99,39.99,0.0,USD, True, False, False,focus entertainment,"May 31, 2021",0
428,daymare: 1998,842100,6,1464,546,Mostly Positive,2010,40200,Unreal Engine,False,29.99,29.99,0.0,USD, True, False, False,"['destructive creations', ' all in! games']","Sep 17, 2019",17
429,nba 2kvr experience,519490,4,5,11,Mostly Negative,16,320,Unreal Engine,False,14.99,14.99,0.0,USD, True, False, False,2k,"Nov 21, 2016",0
430,unreal ii: the awakening,13200,5,288,129,Mixed,417,8340,Unreal Engine,False,14.99,14.99,0.0,USD, True, False, False,"['epic games', ' inc.']","Mar 17, 2008",17
431,spec ops: the line,50300,8,23073,1539,Very Positive,24612,492240,Unreal Engine,False,29.99,29.99,0.0,USD, True, True, True,"['2k', ' missing link games']","Jun 25, 2012",17
432,chivalry: medieval warfare,219640,8,37770,7661,Very Positive,45431,908620,Unreal Engine,False,24.99,24.99,0.0,USD, True, True, True,torn banner studios,"Oct 16, 2012",0
433,perception,426310,6,330,123,Mostly Positive,453,9060,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, False,the deep end games,"May 30, 2017",0
434,toxikk,324810,8,1122,210,Very Positive,1332,26640,Unreal Engine,True,,,,, True, False, False,schwiezer system gmbh,"Sep 10, 2016",0
435,xcom 2,268500,8,49713,9312,Very Positive,59025,1180500,Unreal Engine,False,59.99,59.99,0.0,USD, True, True, True,"['2k', ' feral interactive (mac)', ' feral interactive (linux)']","Feb 4, 2016",0
436,raw data,436320,8,1648,349,Very Positive,1997,39940,Unreal Engine,False,39.99,39.99,0.0,USD, True, False, False,survios,"Oct 5, 2017",0
437,days of war,454350,5,690,677,Mixed,1367,27340,Unreal Engine,False,24.99,24.99,0.0,USD, True, False, False,driven arts,"Feb 4, 2020",0
438,aliens: fireteam elite,1549970,8,10946,2463,Very Positive,13409,268180,Unreal Engine,False,29.99,29.99,0.0,USD, True, False, False,"['cold iron studios', ' focus entertainment']","Aug 23, 2021",17
439,torchlight iii,1030210,5,4515,4931,Mixed,9446,188920,Unreal Engine,False,39.99,39.99,0.0,USD, True, False, False,perfect world entertainment,"Oct 13, 2020",0
440,tower of guns,266110,8,403,63,Very Positive,466,9320,Unreal Engine,False,14.99,14.99,0.0,USD, True, True, True,versus evil,"Mar 4, 2014",0
441,conarium,313780,6,1219,334,Mostly Positive,1553,31060,Unreal Engine,False,19.99,19.99,0.0,USD, True, True, True,iceberg interactive,"Jun 6, 2017",0
442,worms rumble,1186040,5,874,387,Mixed,1261,25220,Unreal Engine,False,14.99,14.99,0.0,USD, True, False, False,team17 digital,"Dec 1, 2020",0
443,bless online,681660,4,2888,4441,Mostly Negative,7329,146580,Unreal Engine,False,,,,, True, False, False,neowiz,"Oct 23, 2018",0
444,remember me,228300,8,7567,1515,Very Positive,9082,181640,Unreal Engine,False,5.99,29.99,80.0,USD, True, False, False,capcom,"Jun 3, 2013",16
445,paladins,444090,8,7639,1542,Very Positive,9181,183620,Unreal Engine,True,,,,, True, True, False,hi-rez studios,"May 8, 2018",0
446,almighty: kill your gods,1206600,5,190,84,Mixed,274,5480,Unreal Engine,False,24.99,24.99,0.0,USD, True, False, False,versus evil,"May 5, 2021",17
447,hood: outlaws & legends,927350,5,2763,2459,Mixed,5222,104440,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, False,focus entertainment,"May 10, 2021",0
448,new gundam breaker,738530,5,676,790,Mixed,1466,29320,Unreal Engine,False,49.99,49.99,0.0,USD, True, False, False,bandai namco entertainment,"Sep 24, 2018",0
449,shadow warrior 3,1036890,5,1292,788,Mixed,2080,41600,Unreal Engine,False,39.99,39.99,0.0,USD, True, False, False,devolver digital,"Mar 1, 2022",0
450,project wingman,895870,8,9242,518,Very Positive,9760,195200,Unreal Engine,False,24.99,24.99,0.0,USD, True, False, False,"['sector d2', ' humble games']","Dec 1, 2020",0
451,the quarry,1577120,6,2877,842,Mostly Positive,3719,74380,Unreal Engine,False,,,,, True, False, False,2k games,9 июн. 2022,0
452,bios,350600,5,97,59,Mixed,156,3120,Unreal Engine,False,2.99,2.99,0.0,USD, True, False, False,pixyul,"Dec 13, 2016",0
453,valhalla hills,351910,5,370,239,Mixed,609,12180,Unreal Engine,False,6.99,6.99,0.0,USD, True, True, True,daedalic entertainment,"Dec 2, 2015",0
454,automation,1698690,7,12,3,Positive,15,300,Unreal Engine,False,14.99,14.99,0.0,USD, True, False, False,one tree hill studios,"Jan 24, 2022",0
455,tom clancy's rainbow six: vegas,13540,6,692,180,Mostly Positive,872,17440,Unreal Engine,False,7.455223880597015,7.455223880597015,0.0,CAD, True, False, False,ubisoft,"9 Apr, 2008",17
456,scarlet nexus,775500,8,7387,1323,Very Positive,8710,174200,Unreal Engine,False,59.99,59.99,0.0,USD, True, False, False,bandai namco entertainment,"Jun 24, 2021",0
457,ruiner,464060,8,7540,811,Very Positive,8351,167020,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, True,devolver digital,"Sep 26, 2017",17
458,tom clancy's rainbow six: vegas 2,15120,8,3444,596,Very Positive,4040,80800,Unreal Engine,False,9.99,9.99,0.0,USD, True, False, False,ubisoft,"Apr 16, 2008",17
459,arboria,924070,8,339,74,Very Positive,413,8260,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, False,all in! games,"Sep 9, 2021",0
460,kao the kangaroo,1370140,8,256,58,Very Positive,314,6280,Unreal Engine,False,20.99,29.99,30.0,USD, True, False, False,tate multimedia,"May 27, 2022",0
461,shadow ops: red mercury,286770,6,126,36,Mostly Positive,162,3240,Unreal Engine,False,6.99,6.99,0.0,USD, True, False, False,retroism,"Jul 2, 2014",13
462,the deadly tower of monsters,353700,8,842,103,Very Positive,945,18900,Unreal Engine,False,14.99,14.99,0.0,USD, True, False, False,sega,"Jan 19, 2016",0
463,little nightmares,424840,8,30402,1896,Very Positive,32298,645960,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, False,bandai namco entertainment,"Apr 27, 2017",0
464,g.i. joe: operation blackout,1432220,5,27,25,Mixed,52,1040,Unreal Engine,False,29.99,29.99,0.0,USD, True, False, False,gamemill entertainment,"Dec 14, 2020",0
465,mu legend,874240,0,1,8,9 user reviews,9,180,Unreal Engine,True,,,,, True, False, False,valofe,"Aug 6, 2018",0
466,mirror's edge,17410,8,22128,3162,Very Positive,25290,505800,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, False,electronic arts,"Jan 14, 2009",0
467,state of decay 2,495420,8,27386,5824,Very Positive,33210,664200,Unreal Engine,False,29.99,29.99,0.0,USD, True, False, False,xbox game studios,"Mar 13, 2020",0
468,the artful escape,1122680,8,853,61,Very Positive,914,18280,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, False,annapurna interactive,"Sep 9, 2021",0
469,gemini: heroes reborn,324650,6,254,68,Mostly Positive,322,6440,Unreal Engine,False,2.99,2.99,0.0,USD, True, False, False,phosphor games,"Jan 18, 2016",13
470,sanctum,91600,8,1671,174,Very Positive,1845,36900,Unreal Engine,False,9.99,9.99,0.0,USD, True, True, False,coffee stain publishing,"Apr 15, 2011",0
471,tribes: ascend,17080,5,41,23,Mixed,64,1280,Unreal Engine,True,,,,, True, False, False,hi-rez studios,"Jun 27, 2012",0
472,ghostwire: tokyo,1475810,8,4919,1081,Very Positive,6000,120000,Unreal Engine,False,59.99,59.99,0.0,USD, True, False, False,bethesda softworks,"Mar 24, 2022",0
473,godfall,928960,5,594,348,Mixed,942,18840,Unreal Engine,False,39.99,39.99,0.0,USD, True, False, False,gearbox publishing,"Apr 7, 2022",0
474,xcom: chimera squad,882100,6,12986,4875,Mostly Positive,17861,357220,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, False,2k,"Apr 23, 2020",0
475,bioshock infinite,8870,8,89485,5716,Very Positive,95201,1904020,Unreal Engine,False,29.99,29.99,0.0,USD, True, True, True,2k,"Mar 25, 2013",17
476,naruto to boruto: shinobi striker,633230,8,31671,5124,Very Positive,36795,735900,Unreal Engine,False,7.99,79.98,90.0,USD, True, False, False,bandai namco entertainment,"Aug 30, 2018",0
477,spongebob squarepants: battle for bikini bottom - rehydrated,969990,9,9617,492,Overwhelmingly Positive,10109,202180,Unreal Engine,False,29.99,29.99,0.0,USD, True, False, False,thq nordic,"Jun 23, 2020",0
478,the flame in the flood,318600,6,1771,585,Mostly Positive,2356,47120,Unreal Engine,False,14.99,14.99,0.0,USD, True, True, False,"['the molasses flood', ' curve games']","Feb 24, 2016",0
479,the ball,35460,6,544,182,Mostly Positive,726,14520,Unreal Engine,False,9.99,9.99,0.0,USD, True, False, False,tripwire interactive,"Oct 26, 2010",17
480,five nights at freddy's: help wanted,732690,9,7893,240,Overwhelmingly Positive,8133,162660,Unreal Engine,False,29.99,29.99,0.0,USD, True, False, False,scottgames,"May 28, 2019",0
481,mechwarrior 5: mercenaries,784080,8,4383,828,Very Positive,5211,104220,Unreal Engine,False,29.99,29.99,0.0,USD, True, False, False,fireshine games,"May 26, 2021",0
482,hellblade: senua's sacrifice,414340,8,41650,3783,Very Positive,45433,908660,Unreal Engine,False,29.99,29.99,0.0,USD, True, False, False,ninja theory,"Aug 7, 2017",17
483,road rage,499210,5,16,23,Mixed,39,780,Unreal Engine,False,9.99,9.99,0.0,USD, True, False, False,maximum games,"Nov 14, 2017",17
484,call of the sea,1042490,8,2014,214,Very Positive,2228,44560,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, False,raw fury,"Dec 8, 2020",13
485,ether one,265950,6,219,75,Mostly Positive,294,5880,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, False,white paper games,"Mar 25, 2014",0
486,dungeons & dragons: daggerdale,99100,4,72,157,Mostly Negative,229,4580,Unreal Engine,False,14.99,14.99,0.0,USD, True, False, False,atari,"Jun 24, 2011",0
487,ready or not,1144200,8,54452,4187,Very Positive,58639,1172780,Unreal Engine,False,39.99,39.99,0.0,USD, True, False, False,void interactive,"Dec 17, 2021",0
488,samurai shodown,1342260,6,386,130,Mostly Positive,516,10320,Unreal Engine,False,,,,, True, False, False,snk corporation,"Jun 14, 2021",0
489,the outer worlds,578650,8,15443,2649,Very Positive,18092,361840,Unreal Engine,False,59.99,59.99,0.0,USD, True, False, False,private division,"Oct 23, 2020",17
490,daylight,382800,0,1,4,5 user reviews,5,100,Unreal Engine,False,,,,, True, True, True,devolver digital films,"Jul 17, 2015",14
491,fighting ex layer,871200,8,446,90,Very Positive,536,10720,Unreal Engine,False,39.99,39.99,0.0,USD, True, False, False,arika,"Nov 29, 2018",0
492,mortal kombat x,307780,8,25909,4217,Very Positive,30126,602520,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, False,warner bros. interactive entertainment,"Apr 13, 2015",17
493,bleeding edge,1189800,5,966,446,Mixed,1412,28240,Unreal Engine,False,29.99,29.99,0.0,USD, True, False, False,ninja theory,"Mar 24, 2020",0
494,alone in the dark: illumination,275060,4,50,174,Mostly Negative,224,4480,Unreal Engine,False,19.99,19.99,0.0,USD, True, False, False,thq nordic,"Jun 11, 2015",0
495,bloodstained: ritual of the night,692850,8,21985,1225,Very Positive,23210,464200,Unreal Engine,False,39.99,39.99,0.0,USD, True, False, False,505 games,"Jun 18, 2019",0
496,ghostbusters,425310,5,16,19,Mixed,35,700,Unreal Engine,False,,,,, True, False, False,activision,"Jul 12, 2016",0
497,the mage's tale,766320,6,104,37,Mostly Positive,141,2820,Unreal Engine,False,29.99,29.99,0.0,USD, True, False, False,inxile entertainment,"Mar 23, 2018",0
498,street outlaws 2: winner takes all,1451950,6,13,5,Mostly Positive,18,360,Unreal Engine,False,49.99,49.99,0.0,USD, True, False, False,gamemill entertainment,"Dec 3, 2021",0
499,it takes two,1426210,9,84202,3482,Overwhelmingly Positive,87684,1753680,Unreal Engine,False,39.99,39.99,0.0,USD, True, False, False,electronic arts,"Mar 25, 2021",0
500,city of brass,301840,6,504,132,Mostly Positive,636,12720,Unreal Engine,False,1.99,19.99,90.0,USD, True, False, False,uppercut games pty ltd,"May 4, 2018",0
501,astroneer,361420,8,76735,6986,Very Positive,83721,1674420,Unreal Engine,False,29.99,29.99,0.0,USD, True, False, False,system era softworks,"Feb 5, 2019",0
