,Game,AppID,Review Score,Positive Reviews,Negative Reviews,Review Score Description,Total Review,Units Sold (Estimated),Engine,Is Free,Price,Initial Price,Discounted Percent,Currency,Windows,Mac,Linux,Publishers,Release Date,Required Age
53,year walk,269050,8,1079,84,Very Positive,1163,23260,Unity Engine,False,5.99,5.99,0.0,USD, True, True, False,simogo,"Mar 6, 2014",0
54,super animal royale,843380,9,6139,296,Overwhelmingly Positive,6435,128700,Unity Engine,True,,,,, True, True, False,modus games,"Aug 26, 2021",0
55,cities in motion 2,225420,5,675,446,Mixed,1121,22420,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,paradox interactive,"Apr 2, 2013",0
56,dead effect,286040,6,1960,753,Mostly Positive,2713,54260,Unity Engine,False,4.99,4.99,0.0,USD, True, True, False,"['badfly interactive', ' a.s.']","Dec 17, 2014",0
57,umurangi generation,1223500,8,651,49,Very Positive,700,14000,Unity Engine,False,14.99,14.99,0.0,USD, True, False, False,"['origame digital', ' playism']","May 19, 2020",0
58,black skylands,1143810,8,814,112,Very Positive,926,18520,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,tinybuild,"Jul 9, 2021",0
59,hero of many,297370,8,59,8,Very Positive,67,1340,Unity Engine,False,6.99,6.99,0.0,USD, True, True, False,trickster arts,"Sep 15, 2014",0
60,v rising,1604030,8,38358,5019,Very Positive,43377,867540,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,stunlock studios,"May 17, 2022",0
61,her story,368370,8,5621,641,Very Positive,6262,125240,Unity Engine,False,9.99,9.99,0.0,USD, True, True, False,sam barlow,"Jun 24, 2015",0
62,"dr. langeskov, the tiger, and the terribly cursed emerald: a whirlwind heist",409160,8,151,7,Very Positive,158,3160,Unity Engine,True,,,,, True, True, False,crows crows crows,"Dec 4, 2015",0
63,graveyard keeper,599140,8,19318,3106,Very Positive,22424,448480,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,tinybuild,"Aug 15, 2018",0
64,realmyst: masterpiece edition,244430,8,1015,133,Very Positive,1148,22960,Unity Engine,False,17.99,17.99,0.0,USD, True, True, False,cyan worlds inc,"Feb 5, 2014",0
65,poi,401810,8,351,24,Very Positive,375,7500,Unity Engine,False,9.99,9.99,0.0,USD, True, True, True,polykid,"Feb 1, 2017",0
66,djmax respect v,960170,8,14899,2176,Very Positive,17075,341500,Unity Engine,False,12.49,49.99,75.0,USD, True, False, False,neowiz,"Mar 11, 2020",0
67,tis-100,370360,9,2771,69,Overwhelmingly Positive,2840,56800,Unity Engine,False,6.99,6.99,0.0,USD, True, True, True,zachtronics,"Jul 20, 2015",0
68,sands of salzaar,1094520,8,15290,2886,Very Positive,18176,363520,Unity Engine,False,14.99,14.99,0.0,USD, True, False, False,xd,"Dec 15, 2021",0
69,tunic,553420,8,4578,373,Very Positive,4951,99020,Unity Engine,False,25.365671641791046,25.365671641791046,0.0,CAD, True, True, False,finji,"16 Mar, 2022",0
70,hand of fate,266510,8,6863,755,Very Positive,7618,152360,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,defiant development,"Feb 17, 2015",0
71,teslagrad,249590,8,1320,233,Very Positive,1553,31060,Unity Engine,False,9.99,9.99,0.0,USD, True, True, True,rain games,"Dec 13, 2013",0
72,necropolis,384490,5,2317,1319,Mixed,3636,72720,Unity Engine,False,29.99,29.99,0.0,USD, True, True, False,"['paradox interactive', ' bandai namco']",Jul 2016,0
73,white day: a labyrinth named school,466130,6,1285,340,Mostly Positive,1625,32500,Unity Engine,False,29.99,29.99,0.0,USD, True, False, False,"['pqube', ' sonnori corp']","Aug 22, 2017",0
74,naraka: bladepoint,1203220,6,91104,24399,Mostly Positive,115503,2310060,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,netease games global,"Aug 11, 2021",0
75,trailmakers,585420,8,10584,829,Very Positive,11413,228260,Unity Engine,False,24.99,24.99,0.0,USD, True, False, False,flashbulb,"Sep 18, 2019",0
76,crying suns,873940,8,2108,336,Very Positive,2444,48880,Unity Engine,False,24.99,24.99,0.0,USD, True, True, False,humble games,"Sep 18, 2019",0
77,armello,290340,8,8325,1770,Very Positive,10095,201900,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,league of geeks,"Sep 1, 2015",0
78,thronebreaker: the witcher tales,973760,8,10969,1227,Very Positive,12196,243920,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,cd projekt red,"Nov 9, 2018",0
79,phasmophobia,739630,9,383402,11497,Overwhelmingly Positive,394899,7897980,Unity Engine,False,13.99,13.99,0.0,USD, True, False, False,kinetic games,"Sep 18, 2020",0
80,guns and robots,293540,4,5,10,Mostly Negative,15,300,Unity Engine,True,,,,, True, False, False,"['masthead studios ltd', ' thegamewallstudios', ' gamigo ag']","Aug 4, 2014",0
81,islanders,1046030,9,13061,664,Overwhelmingly Positive,13725,274500,Unity Engine,False,4.99,4.99,0.0,USD, True, True, True,coatsink,"Apr 4, 2019",0
82,shroud of the avatar: forsaken virtues,326160,5,502,463,Mixed,965,19300,Unity Engine,True,,,,, True, True, True,catnip games,"Mar 27, 2018",0
83,digimon survive,871980,8,1510,340,Very Positive,1850,37000,Unity Engine,False,59.99,59.99,0.0,USD, True, False, False,bandai namco entertainment inc.,"Jul 28, 2022",0
84,glittermitten grove,536890,8,259,52,Very Positive,311,6220,Unity Engine,False,9.99,9.99,0.0,USD, True, True, True,,"Dec 13, 2016",0
85,house party,611790,8,9921,1392,Very Positive,11313,226260,Unity Engine,False,24.99,24.99,0.0,USD, True, False, False,"['eek! games', ' llc']","Jul 15, 2022",17
86,aaero,499890,8,269,21,Very Positive,290,5800,Unity Engine,False,14.99,14.99,0.0,USD, True, False, False,mad fellows,"Apr 11, 2017",0
87,klonoa phantasy reverie series,1730680,9,796,21,Overwhelmingly Positive,817,16340,Unity Engine,False,39.99,39.99,0.0,USD, True, False, False,bandai namco entertainment,"Jul 7, 2022",0
88,the long dark,305620,8,73799,6419,Very Positive,80218,1604360,Unity Engine,False,34.99,34.99,0.0,USD, True, True, True,hinterland studio inc.,"Aug 1, 2017",0
89,victory at sea,298480,6,337,117,Mostly Positive,454,9080,Unity Engine,False,24.99,24.99,0.0,USD, True, True, True,evil twin artworks,"Aug 8, 2014",0
90,iron harvest,826630,6,5820,2026,Mostly Positive,7846,156920,Unity Engine,False,29.99,29.99,0.0,USD, True, False, False,prime matter,"Aug 31, 2020",0
91,pathologic 2,505230,8,5441,420,Very Positive,5861,117220,Unity Engine,False,34.99,34.99,0.0,USD, True, False, False,tinybuild,"May 23, 2019",0
92,aragami,280160,8,7778,814,Very Positive,8592,171840,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,lince works,"Oct 4, 2016",0
93,dex,269650,8,2159,327,Very Positive,2486,49720,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,"['dreadlocks ltd.', ' techland', ' whispergames']","May 7, 2015",0
94,human: fall flat,477160,8,123460,7054,Very Positive,130514,2610280,Unity Engine,False,4.589449489936793,15.298164966455975,70.0,KRW, True, True, False,curve games,"22 Jul, 2016",0
95,the dwarves,403970,6,737,253,Mostly Positive,990,19800,Unity Engine,False,39.99,39.99,0.0,USD, True, True, True,"['thq nordic', ' eurovideo medien']","Dec 1, 2016",0
96,cloudpunk,746850,8,9116,1084,Very Positive,10200,204000,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,"['ion lands', ' maple whispering limited']","Apr 23, 2020",0
97,gunfire reborn,1217060,8,64132,3753,Very Positive,67885,1357700,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,duoyi games,"Nov 17, 2021",0
98,desperados iii,610370,9,7003,223,Overwhelmingly Positive,7226,144520,Unity Engine,False,29.99,29.99,0.0,USD, True, True, True,thq nordic,"Jun 16, 2020",17
99,shadow blade: reload,272330,8,146,20,Very Positive,166,3320,Unity Engine,False,9.99,9.99,0.0,USD, True, True, True,dead mage,"Aug 10, 2015",0
100,doom,379720,9,107376,5195,Overwhelmingly Positive,112571,2251420,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,bethesda softworks,"May 12, 2016",17
101,dusk,519860,9,14485,308,Overwhelmingly Positive,14793,295860,Unity Engine,False,16.41044776119403,16.41044776119403,0.0,CAD, True, True, True,new blood interactive,"10 Dec, 2018",0
102,nascar heat evolution,508450,5,153,136,Mixed,289,5780,Unity Engine,False,9.99,9.99,0.0,USD, True, False, False,dusenberry martin racing,"Sep 12, 2016",0
103,the lab,450390,8,212,14,Very Positive,226,4520,Unity Engine,True,,,,, True, False, False,valve,"Apr 5, 2016",0
104,dawn of the monsters,1642170,8,58,5,Very Positive,63,1260,Unity Engine,False,29.99,29.99,0.0,USD, True, False, False,wayforward,"Mar 15, 2022",0
105,slime rancher 2,1657630,9,9752,482,Overwhelmingly Positive,10234,204680,Unity Engine,False,8.574582924435722,8.574582924435722,0.0,INR, True, False, False,monomi park,"22 Sep, 2022",0
106,infinifactory,300570,8,1520,81,Very Positive,1601,32020,Unity Engine,False,24.99,24.99,0.0,USD, True, True, True,zachtronics,"Jun 30, 2015",0
107,yestermorrow,1210490,5,24,11,Mixed,35,700,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,"['blowfish studios', ' gamera games (china)', ' orenda (asia)']","Nov 5, 2020",0
108,tyranny,362960,8,7159,1072,Very Positive,8231,164620,Unity Engine,False,29.99,29.99,0.0,USD, True, True, True,paradox interactive,"Nov 10, 2016",0
109,pony island,405640,9,9697,453,Overwhelmingly Positive,10150,203000,Unity Engine,False,4.99,4.99,0.0,USD, True, True, True,daniel mullins games,"Jan 4, 2016",0
110,just shapes & beats,531510,9,13911,305,Overwhelmingly Positive,14216,284320,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,berzerk studio,"May 31, 2018",0
111,monument valley 2,1927740,8,302,15,Very Positive,317,6340,Unity Engine,False,7.99,7.99,0.0,USD, True, False, False,ustwo games,"Jul 12, 2022",0
112,helltaker,1289310,8,366,4,Very Positive,370,7400,Unity Engine,True,,,,, True, True, True,vanripper,11 мая. 2020,0
113,interstellar marines,236370,5,2285,1918,Mixed,4203,84060,Unity Engine,False,9.99,9.99,0.0,USD, True, True, True,zero point software,"Jul 2, 2013",0
114,car mechanic simulator 2015,320300,8,10691,913,Very Positive,11604,232080,Unity Engine,False,2.49,24.99,90.0,USD, True, True, False,playway s.a.,"Apr 23, 2015",0
115,legend of dungeon,238280,6,863,313,Mostly Positive,1176,23520,Unity Engine,False,9.99,9.99,0.0,USD, True, True, True,,"Sep 13, 2013",0
116,the last tinker: city of colors,260160,6,484,138,Mostly Positive,622,12440,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,daedalic entertainment,"May 12, 2014",0
117,double dragon iv,528610,5,390,236,Mixed,626,12520,Unity Engine,False,6.99,6.99,0.0,USD, True, False, False,arc system works,"Jan 30, 2017",0
118,void bastards,857980,8,2897,415,Very Positive,3312,66240,Unity Engine,False,29.99,29.99,0.0,USD, True, True, False,humble games,"May 28, 2019",0
119,lost sphear,525240,5,78,64,Mixed,142,2840,Unity Engine,False,49.99,49.99,0.0,USD, True, False, False,square enix,"Jan 23, 2018",10
120,everhood,1229380,9,7443,286,Overwhelmingly Positive,7729,154580,Unity Engine,False,9.99,9.99,0.0,USD, True, False, False,"['foreign gnomes', ' surefire.games']","Mar 4, 2021",0
121,ziggurat,308420,8,2367,333,Very Positive,2700,54000,Unity Engine,False,14.99,14.99,0.0,USD, True, True, True,milkstone studios,"Oct 23, 2014",0
122,bendy and the ink machine,622650,8,8703,1034,Very Positive,9737,194740,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,joey drew studios,"Apr 27, 2017",0
123,a valley without wind,209330,5,115,70,Mixed,185,3700,Unity Engine,False,14.99,14.99,0.0,USD, True, True, True,"['arcen games', ' llc']","Apr 24, 2012",0
124,clustertruck,397950,8,9032,634,Very Positive,9666,193320,Unity Engine,False,14.99,14.99,0.0,USD, True, True, True,tinybuild,"Sep 27, 2016",0
125,pga tour 2k23,1588010,5,156,89,Mixed,245,4900,Unity Engine,False,59.99,59.99,0.0,USD, True, False, False,2k,"Oct 13, 2022",0
126,big pharma,344850,6,1013,294,Mostly Positive,1307,26140,Unity Engine,False,24.99,24.99,0.0,USD, True, True, True,positech games,"Aug 27, 2015",0
